time, left team, right team, left coach, right coach, left score, right score, left pen taken, right pen taken, left pen score, right pen score, cointoss
2012-03-29 20:03:53, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 14:44:48, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 14:47:41, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 14:48:52, "iBots", "agent2d", NULL, NULL, 0, 1, NULL, NULL, NULL, NULL, NULL
2012-04-11 14:54:38, "iBots", "agent2d", NULL, NULL, 0, 8, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:00:12, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:01:39, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:05:00, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:36:48, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:42:11, "iBots", "agent2d", NULL, NULL, 0, 2, NULL, NULL, NULL, NULL, NULL
2012-04-11 15:49:29, "iBots", "agent2d", NULL, NULL, 0, 2, NULL, NULL, NULL, NULL, NULL
2012-04-14 15:36:49, "iBots", "agent2d", NULL, NULL, 3, 1, NULL, NULL, NULL, NULL, NULL
2012-04-15 18:26:40, "iBots", "agent2d", NULL, NULL, 0, 1, NULL, NULL, NULL, NULL, NULL
2012-04-15 18:29:42, "iBots", "agent2d", NULL, NULL, 0, 0, NULL, NULL, NULL, NULL, NULL
